Group.1,n
"01001.Black, Non-Hispanic",7893
01001.Hispanic,1033
"01001.Other, Non-Hispanic",1198
"01001.White, Non-Hispanic",32050
"01003.Black, Non-Hispanic",14316
01003.Hispanic,6157
"01003.Other, Non-Hispanic",4559
"01003.White, Non-Hispanic",141563
"01005.Black, Non-Hispanic",9248
01005.Hispanic,656
"01005.Other, Non-Hispanic",424
"01005.White, Non-Hispanic",9729
"01007.Black, Non-Hispanic",4040
01007.Hispanic,433
"01007.Other, Non-Hispanic",141
"01007.White, Non-Hispanic",13263
"01009.Black, Non-Hispanic",673
01009.Hispanic,3245
"01009.Other, Non-Hispanic",787
"01009.White, Non-Hispanic",39586
"01011.Black, Non-Hispanic",5963
01011.Hispanic,188
"01011.Other, Non-Hispanic",10
"01011.White, Non-Hispanic",1958
"01013.Black, Non-Hispanic",6793
01013.Hispanic,176
"01013.Other, Non-Hispanic",166
"01013.White, Non-Hispanic",8298
"01015.Black, Non-Hispanic",17978
01015.Hispanic,2648
"01015.Other, Non-Hispanic",2476
"01015.White, Non-Hispanic",66563
"01017.Black, Non-Hispanic",10273
01017.Hispanic,443
"01017.Other, Non-Hispanic",585
"01017.White, Non-Hispanic",15293
"01019.Black, Non-Hispanic",952
01019.Hispanic,257
"01019.Other, Non-Hispanic",166
"01019.White, Non-Hispanic",19282
"01021.Black, Non-Hispanic",3106
01021.Hispanic,2035
"01021.Other, Non-Hispanic",666
"01021.White, Non-Hispanic",27614
"01023.Black, Non-Hispanic",4329
01023.Hispanic,37
"01023.Other, Non-Hispanic",72
"01023.White, Non-Hispanic",5882
"01025.Black, Non-Hispanic",8353
01025.Hispanic,59
"01025.Other, Non-Hispanic",187
"01025.White, Non-Hispanic",10242
"01027.Black, Non-Hispanic",1597
01027.Hispanic,265
"01027.Other, Non-Hispanic",40
"01027.White, Non-Hispanic",8662
"01029.Black, Non-Hispanic",406
01029.Hispanic,223
"01029.Other, Non-Hispanic",124
"01029.White, Non-Hispanic",10780
"01031.Black, Non-Hispanic",6661
01031.Hispanic,2286
"01031.Other, Non-Hispanic",1921
"01031.White, Non-Hispanic",28534
"01033.Black, Non-Hispanic",6906
01033.Hispanic,926
"01033.Other, Non-Hispanic",1020
"01033.White, Non-Hispanic",34367
"01035.Black, Non-Hispanic",4505
01035.Hispanic,38
"01035.Other, Non-Hispanic",100
"01035.White, Non-Hispanic",5147
"01037.Black, Non-Hispanic",2886
01037.Hispanic,104
"01037.Other, Non-Hispanic",8
"01037.White, Non-Hispanic",5958
"01039.Black, Non-Hispanic",3729
01039.Hispanic,413
"01039.Other, Non-Hispanic",323
"01039.White, Non-Hispanic",24590
"01041.Black, Non-Hispanic",2580
01041.Hispanic,72
"01041.Other, Non-Hispanic",382
"01041.White, Non-Hispanic",7704
"01043.Black, Non-Hispanic",854
01043.Hispanic,2089
"01043.Other, Non-Hispanic",1333
"01043.White, Non-Hispanic",59873
"01045.Black, Non-Hispanic",7484
01045.Hispanic,2132
"01045.Other, Non-Hispanic",1375
"01045.White, Non-Hispanic",26901
"01047.Black, Non-Hispanic",20293
01047.Hispanic,371
"01047.Other, Non-Hispanic",277
"01047.White, Non-Hispanic",8876
"01049.Black, Non-Hispanic",848
01049.Hispanic,5734
"01049.Other, Non-Hispanic",1652
"01049.White, Non-Hispanic",45563
"01051.Black, Non-Hispanic",13230
01051.Hispanic,1521
"01051.Other, Non-Hispanic",1306
"01051.White, Non-Hispanic",46899
"01053.Black, Non-Hispanic",8982
01053.Hispanic,543
"01053.Other, Non-Hispanic",1466
"01053.White, Non-Hispanic",17778
"01055.Black, Non-Hispanic",12335
01055.Hispanic,2285
"01055.Other, Non-Hispanic",1736
"01055.White, Non-Hispanic",64224
"01057.Black, Non-Hispanic",1576
01057.Hispanic,170
"01057.Other, Non-Hispanic",187
"01057.White, Non-Hispanic",11123
"01059.Black, Non-Hispanic",1061
01059.Hispanic,3241
"01059.Other, Non-Hispanic",226
"01059.White, Non-Hispanic",19074
"01061.Black, Non-Hispanic",1918
01061.Hispanic,634
"01061.Other, Non-Hispanic",480
"01061.White, Non-Hispanic",17566
"01063.Black, Non-Hispanic",5160
01063.Hispanic,16
"01063.Other, Non-Hispanic",47
"01063.White, Non-Hispanic",1221
"01065.Black, Non-Hispanic",6652
01065.Hispanic,4
"01065.Other, Non-Hispanic",46
"01065.White, Non-Hispanic",4653
"01067.Black, Non-Hispanic",3622
01067.Hispanic,302
"01067.Other, Non-Hispanic",134
"01067.White, Non-Hispanic",9490
"01069.Black, Non-Hispanic",20296
01069.Hispanic,2167
"01069.Other, Non-Hispanic",2277
"01069.White, Non-Hispanic",55606
"01071.Black, Non-Hispanic",1388
01071.Hispanic,897
"01071.Other, Non-Hispanic",1628
"01071.White, Non-Hispanic",36957
"01073.Black, Non-Hispanic",212148
01073.Hispanic,14990
"01073.Other, Non-Hispanic",14952
"01073.White, Non-Hispanic",266413
"01075.Black, Non-Hispanic",1158
01075.Hispanic,100
"01075.Other, Non-Hispanic",127
"01075.White, Non-Hispanic",9450
"01077.Black, Non-Hispanic",7230
01077.Hispanic,1516
"01077.Other, Non-Hispanic",1592
"01077.White, Non-Hispanic",63907
"01079.Black, Non-Hispanic",2953
01079.Hispanic,413
"01079.Other, Non-Hispanic",2473
"01079.White, Non-Hispanic",20038
"01081.Black, Non-Hispanic",27836
01081.Hispanic,3989
"01081.Other, Non-Hispanic",6982
"01081.White, Non-Hispanic",87960
"01083.Black, Non-Hispanic",10220
01083.Hispanic,3261
"01083.Other, Non-Hispanic",2382
"01083.White, Non-Hispanic",57280
"01085.Black, Non-Hispanic",5706
01085.Hispanic,27
"01085.Other, Non-Hispanic",35
"01085.White, Non-Hispanic",2046
"01087.Black, Non-Hispanic",12785
01087.Hispanic,90
"01087.Other, Non-Hispanic",99
"01087.White, Non-Hispanic",2505
"01089.Black, Non-Hispanic",67366
01089.Hispanic,11342
"01089.Other, Non-Hispanic",15719
"01089.White, Non-Hispanic",188162
"01091.Black, Non-Hispanic",7843
01091.Hispanic,43
"01091.Other, Non-Hispanic",84
"01091.White, Non-Hispanic",6947
"01093.Black, Non-Hispanic",913
01093.Hispanic,442
"01093.Other, Non-Hispanic",341
"01093.White, Non-Hispanic",21895
"01095.Black, Non-Hispanic",1727
01095.Hispanic,6952
"01095.Other, Non-Hispanic",1749
"01095.White, Non-Hispanic",61330
"01097.Black, Non-Hispanic",107465
01097.Hispanic,8055
"01097.Other, Non-Hispanic",13043
"01097.White, Non-Hispanic",187741
"01099.Black, Non-Hispanic",6766
01099.Hispanic,65
"01099.Other, Non-Hispanic",448
"01099.White, Non-Hispanic",9240
"01101.Black, Non-Hispanic",98063
01101.Hispanic,4149
"01101.Other, Non-Hispanic",7090
"01101.White, Non-Hispanic",64202
"01103.Black, Non-Hispanic",11241
01103.Hispanic,5707
"01103.Other, Non-Hispanic",2557
"01103.White, Non-Hispanic",72341
"01105.Black, Non-Hispanic",4831
01105.Hispanic,60
"01105.Other, Non-Hispanic",15
"01105.White, Non-Hispanic",2379
"01107.Black, Non-Hispanic",6262
01107.Hispanic,842
"01107.Other, Non-Hispanic",197
"01107.White, Non-Hispanic",8941
"01109.Black, Non-Hispanic",9618
01109.Hispanic,506
"01109.Other, Non-Hispanic",1094
"01109.White, Non-Hispanic",15644
"01111.Black, Non-Hispanic",3533
01111.Hispanic,381
"01111.Other, Non-Hispanic",162
"01111.White, Non-Hispanic",13714
"01113.Black, Non-Hispanic",19123
01113.Hispanic,1965
"01113.Other, Non-Hispanic",1480
"01113.White, Non-Hispanic",21213
"01115.Black, Non-Hispanic",6385
01115.Hispanic,1306
"01115.Other, Non-Hispanic",1410
"01115.White, Non-Hispanic",58846
"01117.Black, Non-Hispanic",19700
01117.Hispanic,7355
"01117.Other, Non-Hispanic",5759
"01117.White, Non-Hispanic",129993
"01119.Black, Non-Hispanic",7308
01119.Hispanic,47
"01119.Other, Non-Hispanic",209
"01119.White, Non-Hispanic",2763
"01121.Black, Non-Hispanic",20190
01121.Hispanic,1227
"01121.Other, Non-Hispanic",1195
"01121.White, Non-Hispanic",40516
"01123.Black, Non-Hispanic",8273
01123.Hispanic,586
"01123.Other, Non-Hispanic",378
"01123.White, Non-Hispanic",22850
"01125.Black, Non-Hispanic",49509
01125.Hispanic,4802
"01125.Other, Non-Hispanic",4223
"01125.White, Non-Hispanic",105154
"01127.Black, Non-Hispanic",2936
01127.Hispanic,873
"01127.Other, Non-Hispanic",898
"01127.White, Non-Hispanic",45148
"01129.Black, Non-Hispanic",3085
01129.Hispanic,184
"01129.Other, Non-Hispanic",998
"01129.White, Non-Hispanic",8486
"01131.Black, Non-Hispanic",5530
01131.Hispanic,57
"01131.Other, Non-Hispanic",117
"01131.White, Non-Hispanic",2400
"01133.Black, Non-Hispanic",105
01133.Hispanic,444
"01133.Other, Non-Hispanic",393
"01133.White, Non-Hispanic",17916
"02013.Black, Non-Hispanic",141
02013.Hispanic,289
"02013.Other, Non-Hispanic",2039
"02013.White, Non-Hispanic",430
"02016.Black, Non-Hispanic",191
02016.Hispanic,410
"02016.Other, Non-Hispanic",2880
"02016.White, Non-Hispanic",1233
"02020.Black, Non-Hispanic",12230
02020.Hispanic,17615
"02020.Other, Non-Hispanic",53751
"02020.White, Non-Hispanic",138060
"02050.Black, Non-Hispanic",127
02050.Hispanic,271
"02050.Other, Non-Hispanic",9879
"02050.White, Non-Hispanic",1462
"02060.Black, Non-Hispanic",5
02060.Hispanic,23
"02060.Other, Non-Hispanic",296
"02060.White, Non-Hispanic",372
"02068.Black, Non-Hispanic",26
02068.Hispanic,7
"02068.Other, Non-Hispanic",296
"02068.White, Non-Hispanic",1657
"02070.Black, Non-Hispanic",79
02070.Hispanic,80
"02070.Other, Non-Hispanic",2617
"02070.White, Non-Hispanic",642
"02090.Black, Non-Hispanic",3729
02090.Hispanic,5492
"02090.Other, Non-Hispanic",11308
"02090.White, Non-Hispanic",54599
"02100.Black, Non-Hispanic",0
02100.Hispanic,44
"02100.Other, Non-Hispanic",310
"02100.White, Non-Hispanic",1522
"02105.Black, Non-Hispanic",61
02105.Hispanic,93
"02105.Other, Non-Hispanic",810
"02105.White, Non-Hispanic",853
"02110.Black, Non-Hispanic",291
02110.Hispanic,1419
"02110.Other, Non-Hispanic",6301
"02110.White, Non-Hispanic",17275
"02122.Black, Non-Hispanic",293
02122.Hispanic,1623
"02122.Other, Non-Hispanic",6153
"02122.White, Non-Hispanic",37149
"02130.Black, Non-Hispanic",95
02130.Hispanic,475
"02130.Other, Non-Hispanic",2962
"02130.White, Non-Hispanic",7235
"02150.Black, Non-Hispanic",46
02150.Hispanic,789
"02150.Other, Non-Hispanic",4018
"02150.White, Non-Hispanic",5137
"02158.Black, Non-Hispanic",40
02158.Hispanic,85
"02158.Other, Non-Hispanic",4504
"02158.White, Non-Hispanic",291
"02164.Black, Non-Hispanic",13
02164.Hispanic,0
"02164.Other, Non-Hispanic",816
"02164.White, Non-Hispanic",239
"02170.Black, Non-Hispanic",923
02170.Hispanic,3257
"02170.Other, Non-Hispanic",9900
"02170.White, Non-Hispanic",62896
"02180.Black, Non-Hispanic",79
02180.Hispanic,110
"02180.Other, Non-Hispanic",5135
"02180.White, Non-Hispanic",1231
"02185.Black, Non-Hispanic",151
02185.Hispanic,162
"02185.Other, Non-Hispanic",4048
"02185.White, Non-Hispanic",2869
"02188.Black, Non-Hispanic",71
02188.Hispanic,86
"02188.Other, Non-Hispanic",4125
"02188.White, Non-Hispanic",713
"02195.Black, Non-Hispanic",30
02195.Hispanic,345
"02195.Other, Non-Hispanic",516
"02195.White, Non-Hispanic",1714
"02198.Black, Non-Hispanic",30
02198.Hispanic,133
"02198.Other, Non-Hispanic",2312
"02198.White, Non-Hispanic",2433
"02220.Black, Non-Hispanic",68
02220.Hispanic,386
"02220.Other, Non-Hispanic",1934
"02220.White, Non-Hispanic",4375
"02230.Black, Non-Hispanic",44
02230.Hispanic,48
"02230.Other, Non-Hispanic",72
"02230.White, Non-Hispanic",784
"02240.Black, Non-Hispanic",41
02240.Hispanic,235
"02240.Other, Non-Hispanic",837
"02240.White, Non-Hispanic",3903
"02261.Black, Non-Hispanic",27
02261.Hispanic,309
"02261.Other, Non-Hispanic",1656
"02261.White, Non-Hispanic",5095
"02275.Black, Non-Hispanic",1
02275.Hispanic,79
"02275.Other, Non-Hispanic",607
"02275.White, Non-Hispanic",1346
"02282.Black, Non-Hispanic",5
02282.Hispanic,17
"02282.Other, Non-Hispanic",263
"02282.White, Non-Hispanic",214
"02290.Black, Non-Hispanic",4
02290.Hispanic,67
"02290.Other, Non-Hispanic",2885
"02290.White, Non-Hispanic",934
"04001.Black, Non-Hispanic",368
04001.Hispanic,2876
"04001.Other, Non-Hispanic",38087
"04001.White, Non-Hispanic",10629
"04003.Black, Non-Hispanic",4127
04003.Hispanic,31095
"04003.Other, Non-Hispanic",5021
"04003.White, Non-Hispanic",58239
"04005.Black, Non-Hispanic",1521
04005.Hispanic,14204
"04005.Other, Non-Hispanic",30892
"04005.White, Non-Hispanic",65353
"04007.Black, Non-Hispanic",293
04007.Hispanic,7188
"04007.Other, Non-Hispanic",6420
"04007.White, Non-Hispanic",28911
"04009.Black, Non-Hispanic",675
04009.Hispanic,8929
"04009.Other, Non-Hispanic",3604
"04009.White, Non-Hispanic",14504
"04011.Black, Non-Hispanic",155
04011.Hispanic,3127
"04011.Other, Non-Hispanic",273
"04011.White, Non-Hispanic",3341
"04012.Black, Non-Hispanic",194
04012.Hispanic,3988
"04012.Other, Non-Hispanic",2159
"04012.White, Non-Hispanic",11056
"04013.Black, Non-Hispanic",176603
04013.Hispanic,883909
"04013.Other, Non-Hispanic",252093
"04013.White, Non-Hispanic",1970144
"04015.Black, Non-Hispanic",1767
04015.Hispanic,24422
"04015.Other, Non-Hispanic",7895
"04015.White, Non-Hispanic",137244
"04017.Black, Non-Hispanic",875
04017.Hispanic,8275
"04017.Other, Non-Hispanic",34456
"04017.White, Non-Hispanic",36212
"04019.Black, Non-Hispanic",27703
04019.Hispanic,267420
"04019.Other, Non-Hispanic",57154
"04019.White, Non-Hispanic",457799
"04021.Black, Non-Hispanic",14615
04021.Hispanic,89920
"04021.Other, Non-Hispanic",26812
"04021.White, Non-Hispanic",202056
"04023.Black, Non-Hispanic",269
04023.Hispanic,27053
"04023.Other, Non-Hispanic",296
"04023.White, Non-Hispanic",6153
"04025.Black, Non-Hispanic",1264
04025.Hispanic,22488
"04025.Other, Non-Hispanic",7493
"04025.White, Non-Hispanic",159091
"04027.Black, Non-Hispanic",3793
04027.Hispanic,91201
"04027.Other, Non-Hispanic",4746
"04027.White, Non-Hispanic",56501
"05001.Black, Non-Hispanic",3404
05001.Hispanic,340
"05001.Other, Non-Hispanic",104
"05001.White, Non-Hispanic",9965
"05003.Black, Non-Hispanic",3841
05003.Hispanic,701
"05003.Other, Non-Hispanic",139
"05003.White, Non-Hispanic",10952
"05005.Black, Non-Hispanic",66
05005.Hispanic,672
"05005.Other, Non-Hispanic",889
"05005.White, Non-Hispanic",32532
"05007.Black, Non-Hispanic",3157
05007.Hispanic,27939
"05007.Other, Non-Hispanic",14947
"05007.White, Non-Hispanic",149236
"05009.Black, Non-Hispanic",103
05009.Hispanic,611
"05009.Other, Non-Hispanic",721
"05009.White, Non-Hispanic",27289
"05011.Black, Non-Hispanic",2397
05011.Hispanic,1020
"05011.Other, Non-Hispanic",28
"05011.White, Non-Hispanic",4833
"05013.Black, Non-Hispanic",907
05013.Hispanic,130
"05013.Other, Non-Hispanic",58
"05013.White, Non-Hispanic",3131
"05015.Black, Non-Hispanic",217
05015.Hispanic,2620
"05015.Other, Non-Hispanic",832
"05015.White, Non-Hispanic",18213
"05017.Black, Non-Hispanic",4277
05017.Hispanic,360
"05017.Other, Non-Hispanic",171
"05017.White, Non-Hispanic",3443
"05019.Black, Non-Hispanic",4258
05019.Hispanic,609
"05019.Other, Non-Hispanic",373
"05019.White, Non-Hispanic",12891
"05021.Black, Non-Hispanic",79
05021.Hispanic,208
"05021.Other, Non-Hispanic",182
"05021.White, Non-Hispanic",11185
"05023.Black, Non-Hispanic",76
05023.Hispanic,402
"05023.Other, Non-Hispanic",495
"05023.White, Non-Hispanic",19324
