GeoType,GEOID,GeoName,County,State
County,1001,"Autauga County, Alabama",Autauga County,Alabama
County,1003,"Baldwin County, Alabama",Baldwin County,Alabama
County,1005,"Barbour County, Alabama",Barbour County,Alabama
County,1007,"Bibb County, Alabama",Bibb County,Alabama
County,1009,"Blount County, Alabama",Blount County,Alabama
County,1011,"Bullock County, Alabama",Bullock County,Alabama
County,1013,"Butler County, Alabama",Butler County,Alabama
County,1015,"Calhoun County, Alabama",Calhoun County,Alabama
County,1017,"Chambers County, Alabama",Chambers County,Alabama
County,1019,"Cherokee County, Alabama",Cherokee County,Alabama
County,1021,"Chilton County, Alabama",Chilton County,Alabama
County,1023,"Choctaw County, Alabama",Choctaw County,Alabama
County,1025,"Clarke County, Alabama",Clarke County,Alabama
County,1027,"Clay County, Alabama",Clay County,Alabama
County,1029,"Cleburne County, Alabama",Cleburne County,Alabama
County,1031,"Coffee County, Alabama",Coffee County,Alabama
County,1033,"Colbert County, Alabama",Colbert County,Alabama
County,1035,"Conecuh County, Alabama",Conecuh County,Alabama
County,1037,"Coosa County, Alabama",Coosa County,Alabama
County,1039,"Covington County, Alabama",Covington County,Alabama
County,1041,"Crenshaw County, Alabama",Crenshaw County,Alabama
County,1043,"Cullman County, Alabama",Cullman County,Alabama
County,1045,"Dale County, Alabama",Dale County,Alabama
County,1047,"Dallas County, Alabama",Dallas County,Alabama
County,1049,"DeKalb County, Alabama",DeKalb County,Alabama
County,1051,"Elmore County, Alabama",Elmore County,Alabama
County,1053,"Escambia County, Alabama",Escambia County,Alabama
County,1055,"Etowah County, Alabama",Etowah County,Alabama
County,1057,"Fayette County, Alabama",Fayette County,Alabama
County,1059,"Franklin County, Alabama",Franklin County,Alabama
County,1061,"Geneva County, Alabama",Geneva County,Alabama
County,1063,"Greene County, Alabama",Greene County,Alabama
County,1065,"Hale County, Alabama",Hale County,Alabama
County,1067,"Henry County, Alabama",Henry County,Alabama
County,1069,"Houston County, Alabama",Houston County,Alabama
County,1071,"Jackson County, Alabama",Jackson County,Alabama
County,1073,"Jefferson County, Alabama",Jefferson County,Alabama
County,1075,"Lamar County, Alabama",Lamar County,Alabama
County,1077,"Lauderdale County, Alabama",Lauderdale County,Alabama
County,1079,"Lawrence County, Alabama",Lawrence County,Alabama
County,1081,"Lee County, Alabama",Lee County,Alabama
County,1083,"Limestone County, Alabama",Limestone County,Alabama
County,1085,"Lowndes County, Alabama",Lowndes County,Alabama
County,1087,"Macon County, Alabama",Macon County,Alabama
County,1089,"Madison County, Alabama",Madison County,Alabama
County,1091,"Marengo County, Alabama",Marengo County,Alabama
County,1093,"Marion County, Alabama",Marion County,Alabama
County,1095,"Marshall County, Alabama",Marshall County,Alabama
County,1097,"Mobile County, Alabama",Mobile County,Alabama
County,1099,"Monroe County, Alabama",Monroe County,Alabama
County,1101,"Montgomery County, Alabama",Montgomery County,Alabama
County,1103,"Morgan County, Alabama",Morgan County,Alabama
County,1105,"Perry County, Alabama",Perry County,Alabama
County,1107,"Pickens County, Alabama",Pickens County,Alabama
County,1109,"Pike County, Alabama",Pike County,Alabama
County,1111,"Randolph County, Alabama",Randolph County,Alabama
County,1113,"Russell County, Alabama",Russell County,Alabama
County,1115,"St. Clair County, Alabama",St. Clair County,Alabama
County,1117,"Shelby County, Alabama",Shelby County,Alabama
County,1119,"Sumter County, Alabama",Sumter County,Alabama
County,1121,"Talladega County, Alabama",Talladega County,Alabama
County,1123,"Tallapoosa County, Alabama",Tallapoosa County,Alabama
County,1125,"Tuscaloosa County, Alabama",Tuscaloosa County,Alabama
County,1127,"Walker County, Alabama",Walker County,Alabama
County,1129,"Washington County, Alabama",Washington County,Alabama
County,1131,"Wilcox County, Alabama",Wilcox County,Alabama
County,1133,"Winston County, Alabama",Winston County,Alabama
County,2013,"Aleutians East Borough, Alaska",Aleutians East Borough,Alaska
County,2016,"Aleutians West Census Area, Alaska",Aleutians West Census Area,Alaska
County,2020,"Anchorage Municipality, Alaska",Anchorage Municipality,Alaska
County,2050,"Bethel Census Area, Alaska",Bethel Census Area,Alaska
County,2060,"Bristol Bay Borough, Alaska",Bristol Bay Borough,Alaska
County,2068,"Denali Borough, Alaska",Denali Borough,Alaska
County,2070,"Dillingham Census Area, Alaska",Dillingham Census Area,Alaska
County,2090,"Fairbanks North Star Borough, Alaska",Fairbanks North Star Borough,Alaska
County,2100,"Haines Borough, Alaska",Haines Borough,Alaska
County,2105,"Hoonah-Angoon Census Area, Alaska",Hoonah-Angoon Census Area,Alaska
County,2110,"Juneau City and Borough, Alaska",Juneau City and Borough,Alaska
County,2122,"Kenai Peninsula Borough, Alaska",Kenai Peninsula Borough,Alaska
County,2130,"Ketchikan Gateway Borough, Alaska",Ketchikan Gateway Borough,Alaska
County,2150,"Kodiak Island Borough, Alaska",Kodiak Island Borough,Alaska
County,2158,"Kusilvak Census Area, Alaska",Kusilvak Census Area,Alaska
County,2164,"Lake and Peninsula Borough, Alaska",Lake and Peninsula Borough,Alaska
County,2170,"Matanuska-Susitna Borough, Alaska",Matanuska-Susitna Borough,Alaska
County,2180,"Nome Census Area, Alaska",Nome Census Area,Alaska
County,2185,"North Slope Borough, Alaska",North Slope Borough,Alaska
County,2188,"Northwest Arctic Borough, Alaska",Northwest Arctic Borough,Alaska
County,2195,"Petersburg Borough, Alaska",Petersburg Borough,Alaska
County,2198,"Prince of Wales-Hyder Census Area, Alaska",Prince of Wales-Hyder Census Area,Alaska
County,2220,"Sitka City and Borough, Alaska",Sitka City and Borough,Alaska
County,2230,"Skagway Municipality, Alaska",Skagway Municipality,Alaska
County,2240,"Southeast Fairbanks Census Area, Alaska",Southeast Fairbanks Census Area,Alaska
County,2261,"Valdez-Cordova Census Area, Alaska",Valdez-Cordova Census Area,Alaska
County,2275,"Wrangell City and Borough, Alaska",Wrangell City and Borough,Alaska
County,2282,"Yakutat City and Borough, Alaska",Yakutat City and Borough,Alaska
County,2290,"Yukon-Koyukuk Census Area, Alaska",Yukon-Koyukuk Census Area,Alaska
County,4001,"Apache County, Arizona",Apache County,Arizona
County,4003,"Cochise County, Arizona",Cochise County,Arizona
County,4005,"Coconino County, Arizona",Coconino County,Arizona
County,4007,"Gila County, Arizona",Gila County,Arizona
County,4009,"Graham County, Arizona",Graham County,Arizona
County,4011,"Greenlee County, Arizona",Greenlee County,Arizona
County,4012,"La Paz County, Arizona",La Paz County,Arizona
County,4013,"Maricopa County, Arizona",Maricopa County,Arizona
County,4015,"Mohave County, Arizona",Mohave County,Arizona
County,4017,"Navajo County, Arizona",Navajo County,Arizona
County,4019,"Pima County, Arizona",Pima County,Arizona
County,4021,"Pinal County, Arizona",Pinal County,Arizona
County,4023,"Santa Cruz County, Arizona",Santa Cruz County,Arizona
County,4025,"Yavapai County, Arizona",Yavapai County,Arizona
County,4027,"Yuma County, Arizona",Yuma County,Arizona
County,5001,"Arkansas County, Arkansas",Arkansas County,Arkansas
County,5003,"Ashley County, Arkansas",Ashley County,Arkansas
County,5005,"Baxter County, Arkansas",Baxter County,Arkansas
County,5007,"Benton County, Arkansas",Benton County,Arkansas
County,5009,"Boone County, Arkansas",Boone County,Arkansas
County,5011,"Bradley County, Arkansas",Bradley County,Arkansas
County,5013,"Calhoun County, Arkansas",Calhoun County,Arkansas
County,5015,"Carroll County, Arkansas",Carroll County,Arkansas
County,5017,"Chicot County, Arkansas",Chicot County,Arkansas
County,5019,"Clark County, Arkansas",Clark County,Arkansas
County,5021,"Clay County, Arkansas",Clay County,Arkansas
County,5023,"Cleburne County, Arkansas",Cleburne County,Arkansas
County,5025,"Cleveland County, Arkansas",Cleveland County,Arkansas
County,5027,"Columbia County, Arkansas",Columbia County,Arkansas
County,5029,"Conway County, Arkansas",Conway County,Arkansas
County,5031,"Craighead County, Arkansas",Craighead County,Arkansas
County,5033,"Crawford County, Arkansas",Crawford County,Arkansas
County,5035,"Crittenden County, Arkansas",Crittenden County,Arkansas
County,5037,"Cross County, Arkansas",Cross County,Arkansas
County,5039,"Dallas County, Arkansas",Dallas County,Arkansas
County,5041,"Desha County, Arkansas",Desha County,Arkansas
County,5043,"Drew County, Arkansas",Drew County,Arkansas
County,5045,"Faulkner County, Arkansas",Faulkner County,Arkansas
County,5047,"Franklin County, Arkansas",Franklin County,Arkansas
County,5049,"Fulton County, Arkansas",Fulton County,Arkansas
County,5051,"Garland County, Arkansas",Garland County,Arkansas
County,5053,"Grant County, Arkansas",Grant County,Arkansas
County,5055,"Greene County, Arkansas",Greene County,Arkansas
County,5057,"Hempstead County, Arkansas",Hempstead County,Arkansas
County,5059,"Hot Spring County, Arkansas",Hot Spring County,Arkansas
County,5061,"Howard County, Arkansas",Howard County,Arkansas
County,5063,"Independence County, Arkansas",Independence County,Arkansas
County,5065,"Izard County, Arkansas",Izard County,Arkansas
County,5067,"Jackson County, Arkansas",Jackson County,Arkansas
County,5069,"Jefferson County, Arkansas",Jefferson County,Arkansas
County,5071,"Johnson County, Arkansas",Johnson County,Arkansas
County,5073,"Lafayette County, Arkansas",Lafayette County,Arkansas
County,5075,"Lawrence County, Arkansas",Lawrence County,Arkansas
County,5077,"Lee County, Arkansas",Lee County,Arkansas
County,5079,"Lincoln County, Arkansas",Lincoln County,Arkansas
County,5081,"Little River County, Arkansas",Little River County,Arkansas
County,5083,"Logan County, Arkansas",Logan County,Arkansas
County,5085,"Lonoke County, Arkansas",Lonoke County,Arkansas
County,5087,"Madison County, Arkansas",Madison County,Arkansas
County,5089,"Marion County, Arkansas",Marion County,Arkansas
County,5091,"Miller County, Arkansas",Miller County,Arkansas
County,5093,"Mississippi County, Arkansas",Mississippi County,Arkansas
County,5095,"Monroe County, Arkansas",Monroe County,Arkansas
County,5097,"Montgomery County, Arkansas",Montgomery County,Arkansas
County,5099,"Nevada County, Arkansas",Nevada County,Arkansas
County,5101,"Newton County, Arkansas",Newton County,Arkansas
County,5103,"Ouachita County, Arkansas",Ouachita County,Arkansas
County,5105,"Perry County, Arkansas",Perry County,Arkansas
County,5107,"Phillips County, Arkansas",Phillips County,Arkansas
County,5109,"Pike County, Arkansas",Pike County,Arkansas
County,5111,"Poinsett County, Arkansas",Poinsett County,Arkansas
County,5113,"Polk County, Arkansas",Polk County,Arkansas
County,5115,"Pope County, Arkansas",Pope County,Arkansas
County,5117,"Prairie County, Arkansas",Prairie County,Arkansas
County,5119,"Pulaski County, Arkansas",Pulaski County,Arkansas
County,5121,"Randolph County, Arkansas",Randolph County,Arkansas
County,5123,"St. Francis County, Arkansas",St. Francis County,Arkansas
County,5125,"Saline County, Arkansas",Saline County,Arkansas
County,5127,"Scott County, Arkansas",Scott County,Arkansas
County,5129,"Searcy County, Arkansas",Searcy County,Arkansas
County,5131,"Sebastian County, Arkansas",Sebastian County,Arkansas
County,5133,"Sevier County, Arkansas",Sevier County,Arkansas
County,5135,"Sharp County, Arkansas",Sharp County,Arkansas
County,5137,"Stone County, Arkansas",Stone County,Arkansas
County,5139,"Union County, Arkansas",Union County,Arkansas
County,5141,"Van Buren County, Arkansas",Van Buren County,Arkansas
County,5143,"Washington County, Arkansas",Washington County,Arkansas
County,5145,"White County, Arkansas",White County,Arkansas
County,5147,"Woodruff County, Arkansas",Woodruff County,Arkansas
County,5149,"Yell County, Arkansas",Yell County,Arkansas
County,6001,"Alameda County, California",Alameda County,California
County,6003,"Alpine County, California",Alpine County,California
