"","StateFP","GeoType","GEOID","GeoName","TotalPop","reg4","reg9","StateAbbr"
"1",1,"State",1,"Alabama",3261408,"South","East-South Central","AL"
"2",1,"CBSA",19300,"Daphne-Fairhope-Foley, AL",139946,"South","East-South Central","AL"
"3",1,"CBSA",45980,"Troy, AL",19618,"South","East-South Central","AL"
"4",1,"CBSA",23460,"Gadsden, AL",71696,"South","East-South Central","AL"
"5",1,"CBSA",20020,"Dothan, AL",101799,"South","East-South Central","AL"
"6",1,"CBSA",13820,"Birmingham-Hoover, AL",775770,"South","East-South Central","AL"
"7",1,"CBSA",45180,"Talladega-Sylacauga, AL",63900,"South","East-South Central","AL"
"8",1,"CBSA",10700,"Albertville, AL",63366,"South","East-South Central","AL"
"9",1,"CBSA",33860,"Montgomery, AL",248653,"South","East-South Central","AL"
"10",1,"CBSA",46220,"Tuscaloosa, AL",147468,"South","East-South Central","AL"
"11",1,"CBSA",33660,"Mobile, AL",274893,"South","East-South Central","AL"
"12",1,"County",1067,"Henry County, Alabama",12221,"South","East-South Central","AL"
"13",1,"County",1069,"Houston County, Alabama",70773,"South","East-South Central","AL"
"14",1,"County",1071,"Jackson County, Alabama",37119,"South","East-South Central","AL"
"15",1,"County",1073,"Jefferson County, Alabama",446097,"South","East-South Central","AL"
"16",1,"County",1077,"Lauderdale County, Alabama",63148,"South","East-South Central","AL"
"17",1,"County",1001,"Autauga County, Alabama",36466,"South","East-South Central","AL"
"18",1,"County",1005,"Barbour County, Alabama",18387,"South","East-South Central","AL"
"19",1,"County",1009,"Blount County, Alabama",39472,"South","East-South Central","AL"
"20",1,"County",1013,"Butler County, Alabama",13949,"South","East-South Central","AL"
"21",1,"County",1015,"Calhoun County, Alabama",78661,"South","East-South Central","AL"
"22",1,"County",1017,"Chambers County, Alabama",23854,"South","East-South Central","AL"
"23",1,"County",1019,"Cherokee County, Alabama",18694,"South","East-South Central","AL"
"24",1,"County",1021,"Chilton County, Alabama",29747,"South","East-South Central","AL"
"25",1,"County",1023,"Choctaw County, Alabama",9461,"South","East-South Central","AL"
"26",1,"County",1027,"Clay County, Alabama",9446,"South","East-South Central","AL"
"27",1,"County",1029,"Cleburne County, Alabama",10366,"South","East-South Central","AL"
"28",1,"County",1033,"Colbert County, Alabama",38271,"South","East-South Central","AL"
"29",1,"County",1035,"Conecuh County, Alabama",8808,"South","East-South Central","AL"
"30",1,"County",1037,"Coosa County, Alabama",7907,"South","East-South Central","AL"
"31",1,"County",1039,"Covington County, Alabama",26493,"South","East-South Central","AL"
"32",1,"County",1043,"Cullman County, Alabama",56323,"South","East-South Central","AL"
"33",1,"County",1047,"Dallas County, Alabama",27038,"South","East-South Central","AL"
"34",1,"County",1049,"DeKalb County, Alabama",47440,"South","East-South Central","AL"
"35",1,"County",1061,"Geneva County, Alabama",18805,"South","East-South Central","AL"
"36",1,"County",1063,"Greene County, Alabama",5965,"South","East-South Central","AL"
"37",1,"County",1093,"Marion County, Alabama",21538,"South","East-South Central","AL"
"38",1,"cd115",105,"Congressional District 5 (115th Congress), Alabama",481004,"South","East-South Central","AL"
"39",1,"cd115",106,"Congressional District 6 (115th Congress), Alabama",475712,"South","East-South Central","AL"
"40",1,"cd115",101,"Congressional District 1 (115th Congress), Alabama",473036,"South","East-South Central","AL"
