CaseID,wave,ppreg9,PPSTATEN,X947w,X948w,X949w,X950w,X951w,X954Cw,X954Dw
1,Mar-18,Mid-Atlantic,NJ,Not at all worried,A little worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried
2,Mar-18,South Atlantic,VA,Moderately worried,Not at all worried,Not at all worried,A little worried,Moderately worried,Moderately worried,A little worried
3,Mar-18,South Atlantic,MD,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried
4,Mar-18,Mid-Atlantic,NJ,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried
5,Mar-18,Pacific,CA,A little worried,Not at all worried,Not at all worried,Not at all worried,Very worried,Moderately worried,Not at all worried
6,Mar-18,South Atlantic,FL,Moderately worried,Moderately worried,Moderately worried,Moderately worried,A little worried,Not at all worried,Not at all worried
7,Mar-18,South Atlantic,VA,A little worried,A little worried,A little worried,A little worried,Not at all worried,A little worried,A little worried
8,Mar-18,East-North Central,MI,Moderately worried,A little worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried
9,Mar-18,East-North Central,MI,A little worried,A little worried,A little worried,A little worried,A little worried,A little worried,Not at all worried
10,Mar-18,Mid-Atlantic,NY,A little worried,Moderately worried,Not at all worried,Moderately worried,A little worried,A little worried,A little worried
11,Mar-18,New England,MA,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried
12,Mar-18,South Atlantic,FL,Moderately worried,Not at all worried,A little worried,Moderately worried,A little worried,A little worried,Not at all worried
13,Mar-18,Mid-Atlantic,PA,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried
14,Mar-18,East-South Central,AL,Not at all worried,A little worried,A little worried,Moderately worried,Not at all worried,Not at all worried,Not at all worried
15,Mar-18,Pacific,CA,Not at all worried,A little worried,A little worried,Not at all worried,A little worried,A little worried,A little worried
16,Mar-18,Pacific,AK,Not at all worried,Moderately worried,Very worried,Not at all worried,A little worried,Not at all worried,Not at all worried
17,Mar-18,South Atlantic,MD,Not at all worried,A little worried,Not at all worried,A little worried,Not at all worried,Not at all worried,Not at all worried
18,Mar-18,Mid-Atlantic,NY,A little worried,Not at all worried,Not at all worried,Not at all worried,A little worried,A little worried,Not at all worried
19,Mar-18,Mid-Atlantic,PA,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried
20,Mar-18,Mid-Atlantic,NJ,A little worried,Not at all worried,Not at all worried,Moderately worried,A little worried,Moderately worried,A little worried
21,Mar-18,East-North Central,WI,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried
22,Mar-18,East-South Central,TN,A little worried,A little worried,Not at all worried,Not at all worried,A little worried,Not at all worried,Not at all worried
23,Mar-18,East-North Central,WI,Not at all worried,Moderately worried,Not at all worried,Not at all worried,Moderately worried,A little worried,Moderately worried
24,Mar-18,South Atlantic,NC,Moderately worried,Moderately worried,Moderately worried,Moderately worried,Moderately worried,Moderately worried,Moderately worried
25,Mar-18,East-North Central,MI,A little worried,Very worried,Not at all worried,Not at all worried,A little worried,A little worried,Not at all worried
26,Mar-18,West-South Central,TX,Moderately worried,Moderately worried,Moderately worried,Moderately worried,Moderately worried,Moderately worried,Moderately worried
27,Mar-18,Mid-Atlantic,PA,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried,Not at all worried
